id_bien,date_vente,valeur_bien,numero_voie,b_t_q,FK_id_type_voie,nom_voie,FK_id_commune,FK_id_type_bien,nbr_pieces,surface_terrain,surface_reelle,surface_carrez
7165,2020-06-23,112000.00,4,,0,PIERRE CURIE,814,2,1,,18,17.58
7166,2020-06-30,870000.00,8,,0,MANCILLIA,812,2,4,,95,95.74
7167,2020-06-18,627420.00,8,,1,STE MARIE,809,2,3,,73,73.33
7168,2020-06-30,213000.00,26,,0,ANDRE MALRAUX,810,1,4,,81,84.82
7169,2020-06-25,38854.00,1270,,1,GUSTAVE EIFFEL,812,2,2,,21,21.22
7170,2020-06-16,230000.00,17,,12,AUBERNY,819,1,4,,65,100.55
7171,2020-06-29,213000.00,3,,0,VICTOR HUGO,812,2,2,,45,44.81
7172,2020-02-03,156000.00,481,,8,LE MAS,861,1,4,,86,86.98
7173,2020-01-20,63810.00,89,,0,JEAN JACQUES ROUSSEAU,862,2,1,,33,31.06
7174,2020-02-19,54000.00,22,,0,ROUGET DE L ISLE,863,2,2,,44,43.5
7175,2020-02-21,90000.00,14,,1,JEAN BOUSSARD,864,1,4,,84,84.19
7176,2020-02-26,46500.00,55,,0,CLEMENT THOMAS,862,2,1,,18,17.46
7177,2020-03-16,94000.00,20,,0,JEAN JACQUES ROUSSEAU,862,1,2,,69,54.34
7178,2020-03-09,71000.00,56,,0,CHAPERON GRANGERE,862,2,2,,35,35.64
7179,2020-04-03,95500.00,56,,0,CHAPERON GRANGERE,862,2,2,,40,39.9
7180,2020-04-07,43000.00,3,B,0,DE LA GARE,865,2,2,,45,45.99
7181,2020-03-10,121000.00,24,,0,DES MURS,862,2,2,,55,59.84
7182,2020-04-10,62000.00,14,B,0,DES SAULES,866,2,2,,39,37.91
7183,2020-04-14,60000.00,2,,0,SUZANNE CHAUMET,862,2,1,,37,37.24
7184,2020-04-21,38000.00,11,,0,TOUVENT,864,2,2,,36,35.86
7185,2020-04-17,69500.00,16,,1,GEORGES POMPIDOU,862,2,2,,36,34.25
7186,2020-05-05,110000.00,63,,58,DU GENERAL PATTON,864,1,3,344,70,88.87
7187,2020-05-11,61000.00,62,,1,DE LA ROUDET,862,2,3,,66,63.08
7188,2020-05-15,115500.00,27,,0,PIERRE BENOIT,862,2,4,,77,75.19
7189,2020-06-02,75000.00,,,8,LAGASSE,867,2,2,,42,41.62
7190,2020-05-26,86000.00,2,,0,TOULOUSE LAUTREC,862,2,3,,66,59.27
7191,2020-06-02,134750.00,12,,3,DE LA BACONNE,868,1,4,,83,82.28
7192,2020-05-27,66000.00,66,,0,DES CHAIS,862,2,1,,28,28.69
7193,2020-06-16,50000.00,45,,3,DE L HIPPODROMME,869,2,2,,33,33.49
7194,2020-06-16,46000.00,45,,3,DE L HIPPODROMME,869,2,2,,33,33.82
7195,2020-06-03,87990.00,32,,0,PLINE PARMENTIER,862,2,2,,48,49.5
7196,2020-06-11,50000.00,1,,0,HENRI MATISSE,870,2,2,,37,37.87
7197,2020-06-23,130000.00,2,,0,HENRY GUILLIER,862,2,3,,51,62.3
7198,2020-06-18,114000.00,90,,1,DU MARECHAL FOCH,862,2,3,,55,54.23
7199,2020-06-16,128000.00,,,8,LAGASSE,867,2,4,,77,75.75
7200,2020-06-17,99950.00,45,,3,DE L HIPPODROMME,869,1,3,,65,64.53
7201,2020-06-16,110000.00,4,,0,JEAN JACQUES ROUSSEAU,871,2,4,,131,122.5
7202,2020-06-24,89000.00,55,,0,CLEMENT THOMAS,862,2,2,,55,62.47
7203,2020-06-19,75000.00,45,,1,DE LA REPUBLIQUE,872,1,5,,105,147.44
7204,2020-06-17,74800.00,34,,0,FONNEUVE,862,2,2,,85,80
7205,2020-06-26,335000.00,357,,8,SENAU,873,1,4,990,110,218.45
7206,2020-02-11,79500.00,9,,0,MICHELE PERREIN,874,2,3,,50,50.58
7207,2020-02-27,110280.00,26,,4,GAMBETTA,875,1,3,,64,63.65
7208,2020-02-21,60500.00,26,,4,GAMBETTA,875,2,2,,39,39.05
7209,2020-02-20,68000.00,6,,0,DES JARDINIERS,876,2,3,,55,54.17
7210,2020-04-17,66000.00,26,,4,GAMBETTA,875,2,2,,44,44.45
7211,2020-05-25,81000.00,26,,4,GAMBETTA,875,2,3,,63,63
7212,2020-01-02,81795.00,822,G,8,LA BAYNASSE SUD,877,2,2,,29,29
7213,2020-01-15,115000.00,21,B,1,DE LA PTE DE GRAVE,878,2,3,,43,42.99
7214,2020-01-06,90000.00,12,,0,ANDRE LEROUX,878,2,2,,35,35.8
7215,2020-01-17,123000.00,41,,0,TROUCHE,878,2,2,,57,56.32
7216,2020-01-28,139500.00,,,58,ARTS ET VIE,877,2,4,,56,51.89
7217,2020-01-30,372000.00,24,,15,CHARCOT,878,2,4,,102,98.38
7218,2020-01-14,53598.00,1174,,58,ESPACOTEL,879,2,2,,28,27.42
7219,2020-01-30,149000.00,106,,3,DES LACS,878,2,3,,66,65.87
7220,2020-02-04,60000.00,9001,,18,BABORD,879,2,3,,32,35.04
7221,2020-01-15,65500.00,9,B,0,DES FONTAINES,880,2,2,,35,34.77
7222,2020-01-24,90000.00,9021,,58,DE VACANCES MOUSSAILLONS,879,1,3,,31,30.54
7223,2020-02-05,108000.00,3097,,15,MARSAN DE MONTBRUN,878,1,3,,43,44.56
7224,2020-02-12,77050.48,9001,,58,ARTS ET VIE,877,2,2,,25,24.92
7225,2020-02-27,109100.00,40,,5,DE GRAYAN,881,2,2,,57,57.82
7226,2020-02-21,117100.00,3097,,15,MARSAN DE MONTBRUN,878,1,4,,51,52.21
7227,2020-02-28,135000.00,1401,,8,PECHERIES DU MAYNE PAUVRE,879,1,3,,48,51.03
7228,2020-02-28,129021.61,9001,,58,ARTS ET VIE,877,2,1,,24,48.57
7229,2020-02-28,102151.00,,,8,DERRIERE LE MOULIN,879,2,3,,55,55.38
7230,2020-03-10,102200.00,,,8,DERRIERE LE MOULIN,879,2,3,,55,55.69
7231,2020-03-03,167000.00,16,,7,BOULANGE,882,1,4,,95,95.52
7232,2020-03-11,102240.00,1174,,58,ESPACOTEL,879,2,3,,55,55
7233,2020-02-20,50000.00,23,,1,DE LA PTE DE GRAVE,878,2,1,,24,21.96
7234,2020-03-24,125660.00,66,,18,LE GENOIS I,879,2,2,,30,30.94
7235,2020-02-28,54459.00,,,8,DERRIERE LE MOULIN,879,2,2,,28,27.9
7236,2020-03-04,69900.00,5,B,0,MAQUIS DES VIGNES OUDIDES,878,2,2,,18,17.45
7237,2020-03-25,70000.00,13,,0,DES EGLANTIERS,883,2,3,,75,74
7238,2020-04-16,62500.00,8,,0,HENRI DE BOURNAZEL,881,2,3,,35,34.93
7239,2020-03-27,87000.00,1,,10,PETIT PONT,879,2,3,,43,42.61
7240,2020-03-31,37523.00,1173,,58,ESPACOTEL,879,2,1,,19,18.9
7241,2020-03-12,66000.00,9001,,18,ESPACE ATLANTIQUE CANARIES,881,2,3,,76,74.32
7242,2020-04-16,56600.00,8,,0,HENRI DE BOURNAZEL,881,2,2,,35,35.49
7243,2020-05-07,155000.00,30,,4,DU GAL LECLERC,882,2,4,,92,90.51
7244,2020-03-16,62300.00,8,,0,HENRI DE BOURNAZEL,881,2,3,,35,35.13
7245,2020-05-18,80000.00,24,,0,AMIRAL COURBET,878,2,2,,24,25.01
7246,2020-04-28,76000.00,,,8,LOUSTEAUNEUF,880,2,2,,33,33.09
7247,2020-05-13,72000.00,6,,5,DE CAMASSON,884,2,3,,59,56.82
7248,2020-05-25,92000.00,9,B,0,DES FONTAINES,880,2,3,,59,59
7249,2020-05-11,136000.00,66,,3,DES LACS,878,1,4,,49,48.99
7250,2020-05-26,65000.00,9001,,18,BABORD,879,2,2,,26,25.33
7251,2020-05-20,61500.00,8,,0,HENRI DE BOURNAZEL,881,2,3,,35,35.11
7252,2020-05-20,87130.00,822,G,8,LA BAYNASSE SUD,877,2,2,,29,29.45
7253,2020-05-11,90500.00,49,,0,DU GEN DE GAULLE,880,2,2,,49,48.68
7254,2020-05-20,69000.00,9001,,18,ESPACE ATLANTIQUE ACORES,881,2,3,,62,64.32
7255,2020-05-25,63000.00,5,I,0,MAQUIS DES VIGNES OUDIDES,878,2,2,,27,27.07
7256,2020-06-17,73444.01,9001,,58,ARTS ET VIE,877,2,1,,24,24.16
7257,2020-05-29,115000.00,1185,,8,LE GENOIS III,879,2,2,,30,30.37
7258,2020-06-02,55700.00,9001,,58,ARTS ET VIE,877,2,2,,27,25.55
7259,2020-06-05,67000.00,29,F,0,MAQUIS DES VIGNES OUDIDES,878,2,2,,18,17.73
7260,2020-06-10,150000.00,9,A,5,DE LA NEVE,878,1,3,,77,74.37
7261,2020-06-05,254500.00,2,,0,JEANNE D ARC,878,2,3,,56,62.11
7262,2020-06-05,56000.00,,,10,DE L ESQUIF,879,2,1,,19,19.1
7263,2020-06-30,97400.00,66,,3,DES LACS,878,2,4,,44,45.28
7264,2020-06-12,57995.00,,,10,DE L ESQUIF,879,2,1,,18,17.1
7265,2020-06-05,95000.00,7,,0,PASTEUR,882,2,3,,63,57.67
7266,2020-06-12,40000.00,8,,5,DE CAMASSON,884,2,2,,36,37.87
7267,2020-06-23,71000.00,822,G,8,LA BAYNASSE SUD,877,2,2,,29,28.12
7268,2020-06-30,63000.00,21,,0,AUSONE,881,1,1,,27,24.27
7269,2020-06-16,81800.00,20,,15,DE L AMELIE,878,1,3,,35,33.11
7270,2020-01-29,219000.00,4,,15,CHARCOT,878,2,3,,50,51.19
7271,2020-01-11,111400.00,427,,0,ANDRE LE NOTRE,885,2,2,,43,43.44
7272,2020-01-20,64500.00,3,,0,CHRESTIEN,886,2,1,,17,17.2
7273,2020-02-04,182770.00,1235,,0,DE BUGAREL,887,2,3,,63,63.03
